User,Agency,Route,Run,VehicleID,ForwardEnd,VehicleCount,VehiclePosition,DepartureStop,ArrivalStop,Date,DepartureTime,ArrivalTime,Notes0,Notes1,Notes2,Notes3,Notes4
Seanny,BART,,,1671,,,,,,,,,,,,,
Seanny,BART,,,1675,,,,,,,,,,,,,
Seanny,BART,,,1688,,,,,,,,,,,,,
Seanny,BART,,,1689,,,,,,,,,,,,,
Seanny,BART,,,1694,,,,,,,,,,,,,
Seanny,BART,,,1694,,,,,,,,,,,,,
Seanny,BART,,,1695,,,,,,,,,,,,,
Seanny,BART,,,1695,,,,,,,,,,,,,
Seanny,BART,,,1696,,,,,,,,,,,,,
Seanny,BART,,,1698,,,,,,,,,,,,,
Seanny,BART,,,1702,,,,,,,,,,,,,
Seanny,BART,,,1702,,,,,,,,,,,,,
Seanny,BART,,,1702,,,,,,,,,,,,,
Seanny,BART,,,1702,,,,,,,,,,,,,
Seanny,BART,,,1702,,,,,,,,,,,,,
Seanny,BART,,,1702,,,,,,,,,,,,,
Seanny,BART,,,1703,,,,,,,,,,,,,
Seanny,BART,,,1705,,,,,,,,,,,,,
Seanny,BART,,,1707,,,,,,,,,,,,,
Seanny,BART,,,1707,,,,,,,,,,,,,
Seanny,BART,,,1707,,,,,,,,,,,,,
Seanny,BART,,,1709,,,,,,,,,,,,,
Seanny,BART,,,1710,,,,,,,,,,,,,
Seanny,BART,,,1711,,,,,,,,,,,,,
Seanny,BART,,,1712,,,,,,,,,,,,,
Seanny,BART,,,1715,,,,,,,,,,,,,
Seanny,BART,,,1715,,,,,,,,,,,,,
Seanny,BART,,,1717,,,,,,,,,,,,,
Seanny,BART,,,1717,,,,,,,,,,,,,
Seanny,BART,,,1721,,,,,,,,,,,,,
Seanny,BART,,,1725,,,,,,,,,,,,,
Seanny,BART,,,1725,,,,,,,,,,,,,
Seanny,BART,,,1731,,,,,,,,,,,,,
Seanny,BART,,,1731,,,,,,,,,,,,,
Seanny,BART,,,1734,,,,,,,,,,,,,
Seanny,BART,,,1735,,,,,,,,,,,,,
Seanny,BART,,,1736,,,,,,,,,,,,,
Seanny,BART,,,1738,,,,,,,,,,,,,
Seanny,BART,,,1738,,,,,,,,,,,,,
Seanny,BART,,,1742,,,,,,,,,,,,,
Seanny,BART,,,1754,,,,,,,,,,,,,
Seanny,BART,,,1765,,,,,,,,,,,,,
Seanny,BART,,,1765,,,,,,,,,,,,,
Seanny,BART,,,1767,,,,,,,,,,,,,
Seanny,BART,,,1767,,,,,,,,,,,,,
Seanny,BART,,,1769,,,,,,,,,,,,,
Seanny,BART,,,1772,,,,,,,,,,,,,
Seanny,BART,,,1772,,,,,,,,,,,,,
Seanny,BART,,,1773,,,,,,,,,,,,,
Seanny,BART,,,1803,,,,,,,,,,,,,
Seanny,BART,,,1803,,,,,,,,,,,,,
Seanny,BART,,,1804,,,,,,,,,,,,,
Seanny,BART,,,1806,,,,,,,,,,,,,
Seanny,BART,,,1806,,,,,,,,,,,,,
Seanny,BART,,,1809,,,,,,,,,,,,,
Seanny,BART,,,1811,,,,,,,,,,,,,
Seanny,BART,,,1813,,,,,,,,,,,,,
Seanny,BART,,,1815,,,,,,,,,,,,,
Seanny,BART,,,1816,,,,,,,,,,,,,
Seanny,BART,,,1818,,,,,,,,,,,,,
Seanny,BART,,,1818,,,,,,,,,,,,,
Seanny,BART,,,1819,,,,,,,,,,,,,
Seanny,BART,,,1822,,,,,,,,,,,,,
Seanny,BART,,,1824,,,,,,,,,,,,,
Seanny,BART,,,1826,,,,,,,,,,,,,
Seanny,BART,,,1826,,,,,,,,,,,,,
Seanny,BART,,,1827,,,,,,,,,,,,,
Seanny,BART,,,1828,,,,,,,,,,,,,
Seanny,BART,,,1829,,,,,,,,,,,,,
Seanny,BART,,,1832,,,,,,,,,,,,,
Seanny,BART,,,1833,,,,,,,,,,,,,
Seanny,BART,,,1838,,,,,,,,,,,,,
Seanny,BART,,,1840,,,,,,,,,,,,,
Seanny,BART,,,1845,,,,,,,,,,,,,
Seanny,BART,,,1845,,,,,,,,,,,,,
Seanny,BART,,,1849,,,,,,,,,,,,,
Seanny,BART,,,1850,,,,,,,,,,,,,
Seanny,BART,,,1853,,,,,,,,,,,,,
Seanny,BART,,,1855,,,,,,,,,,,,,
Seanny,BART,,,1855,,,,,,,,,,,,,
Seanny,BART,,,1855,,,,,,,,,,,,,
Seanny,BART,,,1856,,,,,,,,,,,,,
Seanny,BART,,,1856,,,,,,,,,,,,,
Seanny,BART,,,1857,,,,,,,,,,,,,
Seanny,BART,,,1859,,,,,,,,,,,,,
Seanny,BART,,,1859,,,,,,,,,,,,,
Seanny,BART,,,1865,,,,,,,,,,,,,
Seanny,BART,,,1866,,,,,,,,,,,,,
Seanny,BART,,,1868,,,,,,,,,,,,,
Seanny,BART,,,1868,,,,,,,,,,,,,
Seanny,BART,,,1874,,,,,,,,,,,,,
Seanny,BART,,,1878,,,,,,,,,,,,,
Seanny,BART,,,1879,,,,,,,,,,,,,
Seanny,BART,,,1880,,,,,,,,,,,,,
Seanny,BART,,,1880,,,,,,,,,,,,,
Seanny,BART,,,1882,,,,,,,,,,,,,
Seanny,BART,,,1883,,,,,,,,,,,,,
Seanny,BART,,,1885,,,,,,,,,,,,,
Seanny,BART,,,1887,,,,,,,,,,,,,
Seanny,BART,,,1889,,,,,,,,,,,,,
Seanny,BART,,,1890,,,,,,,,,,,,,
Seanny,BART,,,1890,,,,,,,,,,,,,
Seanny,BART,,,1894,,,,,,,,,,,,,
Seanny,BART,,,1895,,,,,,,,,,,,,
Seanny,BART,,,1900,,,,,,,,,,,,,
Seanny,BART,,,1900,,,,,,,,,,,,,
Seanny,BART,,,1903,,,,,,,,,,,,,
Seanny,BART,,,1903,,,,,,,,,,,,,
Seanny,BART,,,1911,,,,,,,,,,,,,
Seanny,BART,,,1908,,,,,,,,,,,,,
Seanny,BART,,,3002,,,,,,,,,,,,,
Seanny,BART,,,3002,,,,,,,,,,,,,
Seanny,BART,,,3002,,,,,,,,,,,,,
Seanny,BART,,,3006,,,,,,,,,,,,,
Seanny,BART,,,3014,,,,,,,,,,,,,
Seanny,BART,,,3016,,,,,,,,,,,,,
Seanny,BART,,,3029,,,,,,,,,,,,,
Seanny,BART,,,3032,,,,,,,,,,,,,
Seanny,BART,,,3032,,,,,,,,,,,,,
Seanny,BART,,,3032,,,,,,,,,,,,,
Seanny,BART,,,3032,,,,,,,,,,,,,
Seanny,BART,,,3034,,,,,,,,,,,,,
Seanny,BART,,,3043,,,,,,,,,,,,,
Seanny,BART,,,3046,,,,,,,,,,,,,
Seanny,BART,,,3046,,,,,,,,,,,,,
Seanny,BART,,,3050,,,,,,,,,,,,,
Seanny,BART,,,3060,,,,,,,,,,,,,
Seanny,BART,,,3070,,,,,,,,,,,,,
Seanny,BART,,,3073,,,,,,,,,,,,,
Seanny,BART,,,3074,,,,,,,,,,,,,
Seanny,BART,,,3074,,,,,,,,,,,,,
Seanny,BART,,,3075,,,,,,,,,,,,,
Seanny,BART,,,3085,,,,,,,,,,,,,
Seanny,BART,,,3086,,,,,,,,,,,,,
Seanny,BART,,,3088,,,,,,,,,,,,,
Seanny,BART,,,3089,,,,,,,,,,,,,
Seanny,BART,,,3091,,,,,,,,,,,,,
Seanny,BART,,,3092,,,,,,,,,,,,,
Seanny,BART,,,3094,,,,,,,,,,,,,
Seanny,BART,,,3098,,,,,,,,,,,,,
Seanny,BART,,,3102,,,,,,,,,,,,,
Seanny,BART,,,3103,,,,,,,,,,,,,
Seanny,BART,,,3105,,,,,,,,,,,,,
Seanny,BART,,,3107,,,,,,,,,,,,,
Seanny,BART,,,3107,,,,,,,,,,,,,
Seanny,BART,,,3108,,,,,,,,,,,,,
Seanny,BART,,,3114,,,,,,,,,,,,,
Seanny,BART,,,3116,,,,,,,,,,,,,
Seanny,BART,,,3116,,,,,,,,,,,,,
Seanny,BART,,,3119,,,,,,,,,,,,,
Seanny,BART,,,3120,,,,,,,,,,,,,
Seanny,BART,,,3121,,,,,,,,,,,,,
Seanny,BART,,,3121,,,,,,,,,,,,,
Seanny,BART,,,3123,,,,,,,,,,,,,
Seanny,BART,,,3125,,,,,,,,,,,,,
Seanny,BART,,,3125,,,,,,,,,,,,,
Seanny,BART,,,3130,,,,,,,,,,,,,
Seanny,BART,,,3132,,,,,,,,,,,,,
Seanny,BART,,,3134,,,,,,,,,,,,,
Seanny,BART,,,3141,,,,,,,,,,,,,
Seanny,BART,,,3143,,,,,,,,,,,,,
Seanny,BART,,,3147,,,,,,,,,,,,,
Seanny,BART,,,3147,,,,,,,,,,,,,
Seanny,BART,,,3150,,,,,,,,,,,,,
Seanny,BART,,,3153,,,,,,,,,,,,,
Seanny,BART,,,3157,,,,,,,,,,,,,
Seanny,BART,,,3160,,,,,,,,,,,,,
Seanny,BART,,,3160,,,,,,,,,,,,,
Seanny,BART,,,3162,,,,,,,,,,,,,
Seanny,BART,,,3162,,,,,,,,,,,,,
Seanny,BART,,,3167,,,,,,,,,,,,,
Seanny,BART,,,3169,,,,,,,,,,,,,
Seanny,BART,,,3184,,,,,,,,,,,,,
Seanny,BART,,,3188,,,,,,,,,,,,,
Seanny,BART,,,3196,,,,,,,,,,,,,
Seanny,BART,,,3206,,,,,,,,,,,,,
Seanny,BART,,,3215,,,,,,,,,,,,,
